Zip,City,State,2018-11
11385,New York,NY,697000.0
80013,Aurora,CO,345000.0
77459,Missouri City,TX,339900.0
33024,Pembroke Pines,FL,290000.0
91709,Chino Hills,CA,699994.0
43123,Grove City,OH,219900.0
20906,Silver Spring,MD,359900.0
90066,Los Angeles,CA,1399000.0
78577,Pharr,TX,155950.0
98012,Bothell,WA,582450.0
76028,Burleson,TX,259949.5
14850,Ithaca,NY,299000.0
34787,Winter Garden,FL,388990.0
33908,Fort Myers,FL,286250.0
02148,Malden,MA,399900.0
65807,Springfield,MO,139000.0
33647,Tampa,FL,314690.0
76063,Mansfield,TX,324950.0
44256,Medina,OH,259900.0
79938,El Paso,TX,171200.0
60620,Chicago,IL,127700.0
95823,Sacramento,CA,279000.0
10468,New York,NY,204500.0
92677,Laguna Niguel,CA,839000.0
30040,Cumming,GA,385450.0
75056,The Colony,TX,420311.0
33009,Hallandale,FL,274499.0
45011,Hamilton,OH,264900.0
06902,Stamford,CT,549950.0
27410,Greensboro,NC,239000.0
89121,Las Vegas,NV,240000.0
10028,New York,NY,1795000.0
92345,Hesperia,CA,275000.0
92804,Anaheim,CA,589450.0
07302,Jersey City,NJ,799000.0
65203,Columbia,MO,269900.0
27587,Wake Forest,NC,359900.0
47906,West Lafayette,IN,225500.0
08753,Toms River,NJ,286450.0
92336,Fontana,CA,468944.0
92126,San Diego,CA,590000.0
60634,Chicago,IL,288500.0
30188,Woodstock,GA,350000.0
46307,Crown Point,IN,249900.0
75228,Dallas,TX,245000.0
27406,Greensboro,NC,129945.0
98103,Seattle,WA,725000.0
77450,Cinco Ranch,TX,285000.0
99301,Pasco,WA,299900.0
77845,College Station,TX,277450.0
20011,Washington,DC,619890.0
29732,Rock Hill,SC,241400.0
90019,Los Angeles,CA,1149000.0
60016,Des Plaines,IL,249950.0
43130,Lancaster,OH,159900.0
76244,Fort Worth,TX,275000.0
28314,Fayetteville,NC,119000.0
27610,Raleigh,NC,203000.0
77095,Houston,TX,235000.0
87120,Albuquerque,NM,228500.0
92503,Riverside,CA,439000.0
11233,New York,NY,605000.0
91911,Chula Vista,CA,480000.0
21740,Hagerstown,MD,169900.0
94536,Fremont,CA,925000.0
30318,Atlanta,GA,330000.0
40475,Richmond,KY,182250.0
07002,Bayonne,NJ,399000.0
90280,South Gate,CA,443500.0
28078,Huntersville,NC,336950.0
23320,Chesapeake,VA,299900.0
43230,Gahanna,OH,210000.0
22191,Woodbridge,VA,336950.0
89117,Las Vegas,NV,372000.0
19111,Philadelphia,PA,195000.0
34135,Bonita Springs,FL,305149.0
46227,Indianapolis,IN,144900.0
92592,Temecula,CA,499894.0
11236,New York,NY,499000.0
10027,New York,NY,965000.0
91730,Rancho Cucamonga,CA,439000.0
30080,Smyrna,GA,375000.0
74012,Broken Arrow,OK,184945.0
21117,Owings Mills,MD,262000.0
95747,Roseville,CA,494250.0
60628,Chicago,IL,85000.0
32244,Jacksonville,FL,159450.0
90201,Bell,CA,449444.0
92109,San Diego,CA,1095000.0
30052,Loganville,GA,265000.0
30041,Cumming,GA,409000.0
92101,San Diego,CA,649000.0
32822,Orlando,FL,132247.5
34711,Clermont,FL,299900.0
32218,Jacksonville,FL,213990.0
07093,West New York,NJ,495000.0
90004,Los Angeles,CA,1200000.0
33186,The Crossings,FL,311900.0
32256,Jacksonville,FL,207250.0
30062,Marietta,GA,379950.0
78641,Leander,TX,335000.0
90706,Bellflower,CA,524000.0
60626,Chicago,IL,188000.0
48103,Ann Arbor,MI,416950.0
30331,Atlanta,GA,169500.0
02155,Medford,MA,613950.0
75217,Dallas,TX,145900.0
38401,Columbia,TN,254900.0
91342,Los Angeles,CA,519450.0
92335,Fontana,CA,350000.0
37130,Murfreesboro,TN,254990.0
95123,San Jose,CA,827880.0
60649,Chicago,IL,99950.0
11372,New York,NY,399000.0
43026,Hilliard,OH,269900.0
80634,Greeley,CO,327474.0
27834,Greenville,NC,147500.0
89052,Henderson,NV,474700.0
92021,El Cajon,CA,499000.0
29072,Lexington,SC,253920.0
93065,Simi Valley,CA,599999.5
23454,Virginia Beach,VA,325000.0
22193,Woodbridge,VA,331000.0
75206,Dallas,TX,449000.0
45840,Findlay,OH,189900.0
44130,Parma Heights,OH,140000.0
48185,Westland,MI,149900.0
75035,Frisco,TX,474995.0
20001,Washington,DC,699900.0
33063,Margate,FL,196000.0
27858,Greenville,NC,197700.0
92627,Costa Mesa,CA,847000.0
33064,Pompano Beach,FL,249500.0
33311,Fort Lauderdale,FL,199900.0
32174,Ormond Beach,FL,285000.0
02360,Plymouth,MA,429000.0
30022,Johns Creek,GA,499450.0
23666,Hampton,VA,199900.0
20878,Gaithersburg,MD,589950.0
72401,Jonesboro,AR,154200.0
85705,Tucson,AZ,165000.0
87121,Albuquerque,NM,159250.0
20019,Washington,DC,339999.0
90011,Los Angeles,CA,384500.0
33027,Miramar,FL,309900.0
11223,New York,NY,775000.0
34953,Port Saint Lucie,FL,239900.0
08831,Monroe,NJ,379900.0
58103,Fargo,ND,189000.0
43701,Zanesville,OH,139900.0
90027,Los Angeles,CA,1649500.0
90025,Los Angeles,CA,988000.0
44077,Painesville,OH,172250.0
10021,New York,NY,1699000.0
91710,Chino,CA,525000.0
20147,Ashburn,VA,514900.0
94544,Hayward,CA,634500.0
77082,Houston,TX,235000.0
60616,Chicago,IL,349900.0
19124,Philadelphia,PA,99900.0
43228,Columbus,OH,149900.0
55901,Rochester,MN,229900.0
97402,Eugene,OR,257700.0
33313,Lauderhill,FL,86900.0
30004,Milton,GA,550500.0
95051,Santa Clara,CA,1299000.0
30127,Powder Springs,GA,243388.0
35242,Hoover,AL,465000.0
29730,Rock Hill,SC,191150.0
75150,Mesquite,TX,189000.0
23452,Virginia Beach,VA,270000.0
90731,Los Angeles,CA,635000.0
77840,College Station,TX,199900.0
91335,Los Angeles,CA,569450.0
93727,Fresno,CA,300000.0
71913,Hot Springs,AR,219900.0
80015,Aurora,CO,411970.0
29464,Mount Pleasant,SC,569700.0
27713,Durham,NC,263250.0
80525,Fort Collins,CO,395000.0
43068,Reynoldsburg,OH,168500.0
