Zip,City,State,2018-11
29485,Summerville,SC,442500.0
15301,Washington,PA,284000.0
33511,Brandon,FL,414990.0
17331,Penn,PA,299870.0
70726,Denham Springs,LA,262450.0
92104,San Diego,CA,925000.0
87124,Rio Rancho,NM,315000.0
97045,Oregon City,OR,594975.0
30263,Newnan,GA,418524.0
63129,Oakville,MO,319000.0
32765,Oviedo,FL,399900.0
37040,Clarksville,TN,238990.0
21224,Baltimore,MD,441500.0
85022,Phoenix,AZ,450000.0
89110,Las Vegas,NV,435500.0
20852,North Bethesda,MD,827450.0
34293,Venice,FL,424595.0
30066,Marietta,GA,443000.0
28215,Charlotte,NC,336950.0
74133,Tulsa,OK,262000.0
92646,Huntington Beach,CA,1050000.0
27519,Cary,NC,515000.0
95355,Modesto,CA,415000.0
83301,Twin Falls,ID,325999.0
33458,Jupiter,FL,646495.0
94568,Dublin,CA,1499000.0
77346,Atascocita,TX,347287.0
59901,Kalispell,MT,529500.0
98632,Longview,WA,399950.0
97401,Eugene,OR,455000.0
89148,Las Vegas,NV,412990.0
37027,Brentwood,TN,752490.0
29579,Forestbrook,SC,399900.0
37421,Chattanooga,TN,299000.0
60148,Lombard,IL,445000.0
42701,Elizabethtown,KY,259000.0
43015,Delaware,OH,385900.0
11216,New York,NY,889000.0
23322,Chesapeake,VA,420900.0
28227,Mint Hill,NC,365450.0
19067,Lower Makefield,PA,506497.5
60608,Chicago,IL,414000.0
45044,Middletown,OH,349450.0
92620,Irvine,CA,1220445.5
33414,Wellington,FL,629000.0
28210,Charlotte,NC,420000.0
85008,Phoenix,AZ,429000.0
45013,Hamilton,OH,297000.0
89103,Las Vegas,NV,459444.0
37129,Murfreesboro,TN,394500.0
33433,Boca Raton,FL,500000.0
55124,Apple Valley,MN,425000.0
67401,Salina,KS,252000.0
30101,Acworth,GA,414950.0
32825,Orlando,FL,359949.5
89074,Henderson,NV,429990.0
14094,Lockport,NY,256950.0
92122,San Diego,CA,925000.0
20910,Silver Spring,MD,654450.0
77375,Tomball,TX,444995.0
27265,High Point,NC,259900.0
47150,New Albany,IN,287900.0
23455,Virginia Beach,VA,440000.0
41042,Florence,KY,263650.0
12180,Troy,NY,374900.0
33015,Country Club,FL,438750.0
