zip,state,2018-11
32256,FL,129888.0
78641,TX,229990.0
90706,CA,479950.0
60626,IL,136000.0
30331,GA,120000.0
75217,TX,139900.0
10701,NY,143450.0
38401,TN,164500.0
33012,FL,160000.0
91342,CA,470000.0
37130,TN,159900.0
95123,CA,795880.0
60649,IL,71494.0
11372,NY,289000.0
43026,OH,120900.0
80634,CO,246500.0
92021,CA,400000.0
93065,CA,485000.0
23454,VA,155950.0
22193,VA,290000.0
45840,OH,87500.0
44130,OH,80000.0
48185,MI,79900.0
33063,FL,108555.0
33064,FL,136500.0
33311,FL,150000.0
02360,MA,285000.0
23666,VA,139000.0
72401,AR,50000.0
85705,AZ,129900.0
87121,NM,144900.0
20019,DC,268499.5
90011,CA,378900.0
33027,FL,136750.0
34953,FL,164700.0
08831,NJ,225000.0
58103,ND,138500.0
44077,OH,66000.0
94544,CA,592450.0
77082,TX,140000.0
19124,PA,95000.0
43228,OH,100000.0
55901,MN,129900.0
97402,OR,219500.0
33313,FL,75000.0
30127,GA,140000.0
29730,SC,80850.0
75150,TX,174000.0
23452,VA,155000.0
91335,CA,425000.0
71913,AR,69900.0
80015,CO,289900.0
27713,NC,156750.0
80525,CO,282500.0
43068,OH,124900.0
37128,TN,169900.0
32225,FL,132500.0
95687,CA,319900.0
63123,MO,95000.0
40601,KY,79900.0
85251,AZ,179950.0
93536,CA,358990.0
93550,CA,275000.0
33319,FL,90000.0
73160,OK,90000.0
94509,CA,399975.0
77057,TX,129900.0
89123,NV,200000.0
07087,NJ,289000.0
60615,IL,116250.0
30135,GA,144000.0
27703,NC,143750.0
23451,VA,159900.0
98682,WA,299923.5
76116,TX,156000.0
89031,NV,212900.0
33321,FL,139900.0
75043,TX,165000.0
02301,MA,269900.0
60453,IL,114900.0
60660,IL,125000.0
19720,DE,135000.0
19120,PA,100000.0
31419,GA,114500.0
29445,SC,160000.0
93274,CA,142500.0
33467,FL,119950.0
93307,CA,136250.0
95035,CA,904000.0
77521,TX,139000.0
21222,MD,138250.0
85282,AZ,173400.0
22204,VA,257500.0
20874,MD,239900.0
93309,CA,130000.0
92630,CA,391950.0
94541,CA,589000.0
60056,IL,127000.0
90802,CA,329500.0
33157,FL,139450.0
32246,FL,132000.0
95076,CA,512500.0
31088,GA,77000.0
85142,AZ,199000.0
28216,NC,129899.5
60085,IL,124950.0
37167,TN,167000.0
30253,GA,131745.0
20020,DC,199200.0
38655,MS,135000.0
90631,CA,464950.0
99208,WA,144900.0
77083,TX,150000.0
29485,SC,176500.0
15301,PA,64400.0
85345,AZ,185000.0
94513,CA,595000.0
75211,TX,152000.0
06516,CT,129000.0
17331,PA,125000.0
92154,CA,429450.0
92104,CA,396000.0
87124,NM,135000.0
97045,OR,299999.5
60637,IL,95500.0
85204,AZ,198000.0
21224,MD,134900.0
85022,AZ,184324.0
85301,AZ,144950.0
89110,NV,172450.0
20852,MD,228500.0
34293,FL,179900.0
28215,NC,121000.0
92646,CA,439000.0
83301,ID,130000.0
33458,FL,188400.0
77346,TX,150000.0
59901,MT,219900.0
98632,WA,165000.0
29579,SC,113200.0
60148,IL,129900.0
42701,KY,79900.0
92376,CA,285000.0
95670,CA,284900.0
19134,PA,59900.0
43229,OH,119900.0
45044,OH,68950.0
79924,TX,89900.0
33414,FL,182000.0
85008,AZ,154902.5
92105,CA,377000.0
45013,OH,90000.0
70072,LA,104934.5
89103,NV,142499.0
37129,TN,174900.0
33433,FL,160000.0
55124,MN,185000.0
67401,KS,64900.0
30101,GA,141572.0
78664,TX,224000.0
89074,NV,185200.0
14094,NY,84900.0
92122,CA,370000.0
30058,GA,125000.0
47150,IN,86200.0
23455,VA,163000.0
41042,KY,99900.0
12180,NY,135450.0
33015,FL,154100.0
96706,HI,385000.0
30083,GA,119000.0
08759,NJ,134950.0
53704,WI,152000.0
32303,FL,99000.0
07047,NJ,210000.0
98208,WA,351638.0
95648,CA,308000.0
84404,UT,199800.0
76179,TX,170000.0
07305,NJ,279000.0
90640,CA,467000.0
33141,FL,160000.0
01201,MA,129900.0
19131,PA,95000.0
33436,FL,132500.0
11354,NY,258000.0
89147,NV,169000.0
08873,NJ,255000.0
06457,CT,125000.0
54601,WI,124900.0
97124,OR,299000.0
98034,WA,309000.0
33021,FL,139000.0
96815,HI,312500.0
33324,FL,159900.0
22407,VA,249900.0
59102,MT,160000.0
34668,FL,122950.0
02780,MA,184900.0
30067,GA,137700.0
60004,IL,129900.0
11746,NY,267000.0
85201,AZ,157500.0
94806,CA,475000.0
29483,SC,169900.0
08527,NJ,255000.0
29588,SC,124500.0
22192,VA,274900.0
80219,CO,300000.0
92128,CA,408500.0
48066,MI,78000.0
78748,TX,236750.0
19144,PA,85900.0
83709,ID,209900.0
07728,NJ,236500.0
91331,CA,459500.0
94591,CA,352000.0
28025,NC,109950.0
19702,DE,133000.0
33023,FL,162500.0
70065,LA,123000.0
61761,IL,89900.0
45424,OH,71450.0
78223,TX,119949.5
90042,CA,457000.0
27106,NC,81900.0
28540,NC,88960.0
92020,CA,354495.0
94553,CA,557500.0
97504,OR,228900.0
93308,CA,120000.0
34748,FL,133000.0
85351,AZ,163950.0
32137,FL,139500.0
92399,CA,269000.0
98225,WA,235000.0
75115,TX,175000.0
97206,OR,298500.0
60402,IL,135000.0
84015,UT,215000.0
21218,MD,99000.0
77373,TX,139000.0
07055,NJ,214950.0
