lat,lng,median_home_value,median_household_income,occupied_housing_units,population,Zip,City,State,Median_Home_Value_Z,Top_Tier_Median_Home_Value,Bottom_Tier_Median_Home_Value
26.71,-80.2,202700.0,63385.0,24104.0,65245.0,33411,Royal Palm Beach,FL,319900.0,459450.0,132000.0
41.48,-81.8,129500.0,43190.0,25333.0,52244.0,44107,Lakewood,OH,187887.5,292000.0,59450.0
30.21,-97.8,170200.0,50672.0,24081.0,55614.0,78745,Austin,TX,328000.0,450000.0,0.0
33.02,-96.99,149100.0,56555.0,24262.0,60982.0,75067,Lewisville,TX,280000.0,390047.0,0.0
25.98,-80.28,157900.0,51822.0,21536.0,59039.0,33025,Miramar,FL,240000.0,469995.0,135000.0
42.21,-83.62,153700.0,48772.0,24488.0,61132.0,48197,Ypsilanti,MI,235000.0,0.0,185450.0
42.24,-71.01,333100.0,58669.0,25014.0,55055.0,02169,Quincy,MA,444900.0,0.0,315000.0
38.85,-94.78,200400.0,82333.0,26031.0,74411.0,66062,Olathe,KS,315000.0,380950.0,0.0
36.84,-76.15,210900.0,56617.0,24396.0,61973.0,23462,Virginia Beach,VA,219000.0,357450.0,149777.0
33.95,-118.29,269400.0,29870.0,25144.0,89779.0,90044,Los Angeles,CA,435000.0,0.0,425000.0
41.4,-82.1,106000.0,43449.0,26489.0,64263.0,44035,Elyria,OH,104900.0,0.0,67800.0
38.67,-121.15,385500.0,98547.0,24935.0,72180.0,95630,Folsom,CA,579945.0,646990.0,0.0
33.86,-118.18,282000.0,44070.0,26056.0,93524.0,90805,Long Beach,CA,457000.0,0.0,449900.0
33.91,-118.08,315500.0,60770.0,27130.0,105549.0,90650,Norwalk,CA,489450.0,0.0,475000.0
40.61,-73.89,488200.0,68431.0,31213.0,87757.0,11234,New York,NY,650000.0,775000.0,202500.0
33.75,-117.99,448400.0,52409.0,26223.0,89747.0,92683,Westminster,CA,679950.0,0.0,0.0
32.22,-110.82,151900.0,42204.0,24849.0,54439.0,85710,Tucson,AZ,180950.0,0.0,144450.0
35.4,-80.7,178400.0,59257.0,20425.0,55435.0,28027,Concord,NC,301450.0,359912.0,124900.0
40.75,-73.83,507500.0,41884.0,28837.0,85871.0,11355,New York,NY,662010.0,767444.0,0.0
41.91,-87.61,464400.0,85642.0,18975.0,28718.0,60611,Chicago,IL,565000.0,765000.0,0.0
40.6,-74.15,437500.0,77242.0,30709.0,85510.0,10314,New York,NY,549999.0,692450.0,0.0
36.3,-86.6,209600.0,63464.0,22865.0,59256.0,37075,Hendersonville,TN,342445.0,431445.0,170000.0
41.73,-87.55,139300.0,38845.0,28894.0,84155.0,60617,Chicago,IL,109900.0,0.0,89000.0
34.08,-118.26,551500.0,44327.0,24956.0,67869.0,90026,Los Angeles,CA,992500.0,1199000.0,0.0
33.6,-84.2,132000.0,53818.0,24239.0,66140.0,30281,Stockbridge,GA,195450.0,349900.0,132850.0
30.27,-81.75,115000.0,42365.0,23377.0,59080.0,32210,Jacksonville,FL,143000.0,430000.0,124900.0
33.32,-111.82,163300.0,56414.0,25025.0,69810.0,85225,Chandler,AZ,266000.0,427450.0,168250.0
40.67,-73.98,913200.0,95654.0,28077.0,63488.0,11215,New York,NY,1100000.0,1180000.0,0.0
38.5,-122.3,442500.0,72286.0,24275.0,66830.0,94558,Napa,CA,795000.0,0.0,491750.0
40.71,-73.95,655500.0,46848.0,33489.0,90117.0,11211,New York,NY,1100200.0,1150000.0,0.0
39.5,-104.8,310200.0,100739.0,19555.0,55075.0,80134,Parker,CO,478000.0,610900.0,280000.0
32.63,-117.05,340300.0,54056.0,26063.0,75802.0,91910,Chula Vista,CA,548900.0,0.0,400000.0
35.19,-106.68,209300.0,65277.0,23251.0,61623.0,87114,Albuquerque,NM,233900.0,315000.0,149900.0
41.68,-72.94,204400.0,57632.0,25305.0,60448.0,06010,Bristol,CT,189900.0,335000.0,135450.0
29.52,-98.61,141300.0,48281.0,22815.0,51111.0,78240,San Antonio,TX,209950.0,319945.0,0.0
40.04,-76.31,148700.0,44752.0,24818.0,61973.0,17603,Lancaster,PA,214000.0,338375.0,129122.0
33.67,-112.19,198900.0,68796.0,24405.0,63876.0,85308,Glendale,AZ,294949.5,425000.0,195423.5
36.21,-115.21,110700.0,41659.0,24466.0,70123.0,89108,Las Vegas,NV,229000.0,0.0,155000.0
36.8,-119.88,177500.0,55500.0,23493.0,76448.0,93722,Fresno,CA,260000.0,369731.5,0.0
33.44,-111.93,163700.0,30582.0,22071.0,57348.0,85281,Tempe,AZ,279949.5,426350.0,179000.0
35.14,-106.52,245800.0,62844.0,26205.0,56490.0,87111,Albuquerque,NM,287000.0,399000.0,0.0
42.23,-83.27,77800.0,41933.0,24370.0,63131.0,48180,Taylor,MI,102445.0,0.0,72964.5
18.2,-66.1,0.0,0.0,33724.0,89374.0,00725,Caguas,NM,110000.0,0.0,0.0
38.28,-122.02,211100.0,55413.0,22620.0,69277.0,94533,Fairfield,CA,373450.0,567500.0,339250.0
40.1,-82.9,174700.0,68306.0,22754.0,55991.0,43081,Westerville,OH,259950.0,322900.0,0.0
40.1,-82.4,121200.0,41981.0,24380.0,59605.0,43055,Newark,OH,139900.0,359900.0,89777.0
40.3,-79.5,152400.0,52719.0,24887.0,59483.0,15601,Greensburg,PA,172700.0,285625.0,72450.0
38.62,-121.33,301000.0,54322.0,25311.0,59418.0,95608,Carmichael,CA,435000.0,649950.0,299950.0
41.69,-81.33,166600.0,64446.0,24555.0,60211.0,44060,Mentor,OH,174900.0,279900.0,89450.0
45.55,-122.81,405300.0,100063.0,21741.0,58217.0,97229,Portland,OR,569891.5,683950.0,262000.0
40.68,-73.96,656800.0,65315.0,22648.0,49262.0,11238,New York,NY,1185000.0,1199500.0,0.0
32.6,-114.7,118900.0,39102.0,24879.0,74904.0,85364,Yuma,AZ,200000.0,259900.0,115000.0
