"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"10509","Southeast","NY","New York-Newark-Jersey City","Putnam County",2473,250000,250000,246950,249900,244000,239000,239000,242000,246500,235000,234900,229250,220000,215000,224750,231750,229500,229000,224000,214900,219000,216500,205000,210000,2e+05,199000,199000,205750,203950,199900,199000,194000,189999,195000,194000,192000,195000,199956.5,199956.5,199900,198200,199000,199000,199000,199450,195000,195000,189999,199250,199500,199999.5,205000,219000,225000,228000,228000,225000,225000,207500,205000,205000,209500,224950,224950,220000,223000,220000,219450,214900,222500,209900,208500,212000,224450,225000,227000,230000,234997.5,239000,239900,234995,234995,229450,242450,244450,229700,229500,225000,245000,240000,240000,230000,220000,219500,230000,224900,230000,229950,244499.5,249000,259900,279250,274450,273500,274500,275000,267499.5
"60805","Evergreen Park","IL","Chicago-Naperville-Elgin","Cook County",2474,,,126750,124900,112150,112150,110000,113400,101600,99900,99450,99999,99450,89900,99000,93900,94500,94500,85000,85500,94900,90000,94900,89900,80000,80000,84900,80000,80000,80000,79900,69900,69500,71750,79900,85000,84950,79950,84900,86450,85245,84900,75862.5,88000,97600,87850,86900,97500,94900,99450,99200,97800,98800,97800,95900,94900,99900,99900,102400,99900,105000,104950,104200,99650,104900,106500,109900,104900,108200,109900,112250,115000,114500,112500,104999.5,107000,108450,110000,109900,119700,121450,124000,124000,123950,124900,125000,125000,125000,126000,129450,123600,127000,129450,129900,121800,139900,141900,139900,139900,139900,140000,145500,147500,151500,149000,147544,139900
"95422","Clearlake","CA","Clearlake","Lake County",2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,124500,125000,125000,125000,125000,125000,131500,135000,139000,139000,140000,139000,131250,133750,149000,149000
"06226","Willimantic","CT","Worcester","Windham County",2476,139450,140000,154000,149900,149900,154000,154000,154000,145000,149450,149500,144900,142750,139900,139900,139900,139900,139900,137250,135900,135000,129900,125800,124450,124900,122000,125800,124900,121000,120250,119000,120500,121950,122000,123400,123900,124695,124900,124950,125000,129000,127000,129000,129900,134950,135250,135000,130000,127950,126950,120000,122000,124450,121450,120750,120000,119900,119000,119000,114900,114900,114000,109900,109450,114240,114240,110000,109950,110000,123999.5,125000,114900,111950,109000,109999,119500,120000,120000,120000,124900,120000,124890,123900,119900,114950,121900,114950,125000,129450,129450,134900,134900,140000,134900,135000,135000,129900,129900,129900,129950,129200,129900,129900,125000,124200,124200,127450
"44132","Euclid","OH","Cleveland-Elyria","Cuyahoga County",2477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,60000,64900,65000,65000,65000,63900,61500,63900,64900,59900,60975,64000,69900,70000,74900,70000,74900,72400,69900,69900
"23325","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",2478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,149700,139900,139900,136750,138800,145000,148750,150000,153000,153450,155000
"22551","Spotsylvania","VA","Washington-Arlington-Alexandria","Spotsylvania County",2479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,190000,196250,199900,187499.5,189000,199900,2e+05,2e+05,214900,215000,219950,227500,230000,239800.5,229500,235000,235000,239900,239900,229000,214950,214900,219700,219900,219900,212500
"74127","Tulsa","OK","Tulsa","Tulsa County",2480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49450,45000,49499.5,49900,45000,49900,54900,58200,55400,50000,50500,54950,51850,51700,53300,54900,54600,63452
"78220","San Antonio","TX","San Antonio-New Braunfels","Bexar County",2480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99950,92200,104990,102450,90000,94999.5,93500,104745,99949.5,99000,97000,95000
"78644","Lockhart","TX","Austin-Round Rock","Caldwell County",2482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129500,120500,119000,117600,127150,127900,134500,141500,145093.5,140000,139950,136650,139000,146500,151200,151200,151200,154910,152500,158300,164850,159000,144750,144700,145550,154000,164950,169740,168297.5,170290,169999,173607.5,169370,162700,165500,170407.5,168500,171157.5,169500,174500,175000,172315,179900,180200,172607.5,171157.5,173950,174950,176000,176000,181450,189500,181449.5,188900,186900,186900
"15025","Jefferson Hills","PA","Pittsburgh","Allegheny County",2483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34900,34240,39000,39000,34240,34480,30950,33400,33690,35000,35000,34000,32900,37450,35900,36950,35000
"34142","Immokalee","FL","Naples-Immokalee-Marco Island","Collier County",2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220990,219990,215945,216490,221490,216490,220995,220995,223490,217990,222990,223760.5,224569.5,229495,232066,237995,237495,236990,242995,237990,233990
"60140","Pingree Grove","IL","Chicago-Naperville-Elgin","Kane County",2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117500,118900,125000,129000,125000,129900,129950,129900,129900,132495,129000,126445,129000,126240,120000,127490,136400,134500,134950,134000,131500,134900,130490,136000,139900,143500,145000,143672.5,141620,142900,143275,143000,143990,147000,149780,149950,150495,154900,155000,155000,155000,155000,158700,159900,159900
"28574","Richlands","NC","Jacksonville","Onslow County",2486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,85000,85000,85000,86250,82950,87450,88668.5,92987.5,89900,85500,84900,85500
